시도코드,일,시도,합계,경로,국가유공자,어린이,외국인,일반인,장애인,청소년,,시도코드,일,시도,합계,경로,국가유공자,어린이,외국인,일반인,장애인,청소년
합계,,,"129,559,185","14,451,821","260,027","2,261,454","232,195","101,188,423","2,385,283","8,779,982",,합계,,,"150,767,882","16,309,086","299,999","2,329,199","258,424","118,242,042","2,744,493","10,584,639"
11,2024-10-01(화),서울특별시,"2,808,092","342,552","5,088","44,158","12,891","2,228,118","73,762","101,523",,11,2024-10-17(목),서울특별시,"4,137,655","455,626","7,191","31,765","13,965","3,358,121","105,825","165,162"
,2024-10-02(수),서울특별시,"4,157,443","445,922","7,133","36,375","14,101","3,369,325","106,506","178,081",,,2024-10-18(금),서울특별시,"4,115,788","415,679","6,536","32,142","15,558","3,364,929","99,745","181,199"
,2024-10-03(목),서울특별시,"2,817,209","352,319","4,785","52,024","15,643","2,214,058","73,825","104,555",,,2024-10-19(토),서울특별시,"3,323,470","394,725","5,457","52,887","17,167","2,635,349","84,952","132,933"
,2024-10-04(금),서울특별시,"4,048,939","447,384","7,099","50,820","16,811","3,260,772","105,075","160,978",,,2024-10-20(일),서울특별시,"2,729,662","332,257","4,414","40,546","15,220","2,150,432","71,332","115,461"
,2024-10-05(토),서울특별시,"3,414,017","388,400","5,519","63,745","17,406","2,719,965","84,229","134,753",,,2024-10-21(월),서울특별시,"4,032,375","447,221","7,227","29,611","13,843","3,267,815","105,674","160,984"
,2024-10-06(일),서울특별시,"2,568,421","302,479","3,982","37,388","13,415","2,041,100","65,929","104,128",,,2024-10-22(화),서울특별시,"3,979,137","405,160","6,562","29,607","13,822","3,261,601","96,669","165,716"
,2024-10-07(월),서울특별시,"4,038,094","445,708","7,148","30,478","11,399","3,269,815","105,282","168,264",,,2024-10-23(수),서울특별시,"4,105,227","447,075","7,128","31,615","13,900","3,331,675","105,541","168,293"
,2024-10-08(화),서울특별시,"4,196,505","457,133","7,244","33,817","10,956","3,404,142","106,959","176,254",,,2024-10-24(목),서울특별시,"4,135,591","452,916","7,113","31,212","14,470","3,360,843","105,792","163,245"
,2024-10-09(수),서울특별시,"2,782,306","364,369","4,849","47,567","11,341","2,176,489","76,411","101,280",,,2024-10-25(금),서울특별시,"4,297,625","468,852","7,417","35,304","15,717","3,480,731","109,317","180,287"
,2024-10-10(목),서울특별시,"4,113,558","453,254","7,157","31,294","12,075","3,334,400","106,370","169,008",,,2024-10-26(토),서울특별시,"3,441,684","403,224","5,631","57,109","16,897","2,735,519","85,858","137,446"
,2024-10-11(금),서울특별시,"4,271,119","459,482","7,292","35,939","13,895","3,459,573","108,045","186,893",,,2024-10-27(일),서울특별시,"2,778,445","342,386","4,433","42,688","15,527","2,186,403","71,542","115,466"
,2024-10-12(토),서울특별시,"3,373,090","395,908","5,520","55,787","16,508","2,682,632","85,304","131,431",,,2024-10-28(월),서울특별시,"4,047,098","448,790","7,294","29,890","13,386","3,282,155","104,988","160,595"
,2024-10-13(일),서울특별시,"2,697,802","324,586","4,309","40,252","16,069","2,131,547","69,176","111,863",,,2024-10-29(화),서울특별시,"4,101,142","452,911","7,276","30,543","12,734","3,329,730","104,689","163,259"
,2024-10-14(월),서울특별시,"4,030,490","440,449","7,034","29,818","13,924","3,267,261","103,535","168,469",,,2024-10-30(수),서울특별시,"4,152,161","457,279","7,265","31,930","13,076","3,364,712","106,736","171,163"
26,2024-10-01(화),부산광역시,"767,010","127,107","2,247","21,287",63,"564,990","12,520","38,796",,,2024-10-31(목),서울특별시,"4,175,083","451,679","7,171","30,910","13,381","3,401,623","105,653","164,666"
,2024-10-02(수),부산광역시,"1,055,016","163,110","2,973","22,304",73,"780,468","17,232","68,856",,26,2024-10-17(목),부산광역시,"1,018,908","162,924","2,902","20,483",79,"749,449","16,939","66,132"
,2024-10-03(목),부산광역시,"681,834","112,653","1,905","16,145",84,"504,775","10,688","35,584",,,2024-10-18(금),부산광역시,"1,012,300","152,504","2,790","20,148",65,"751,079","16,383","69,331"
,2024-10-04(금),부산광역시,"1,069,387","163,609","3,047","22,448",88,"802,928","17,213","60,054",,,2024-10-19(토),부산광역시,"818,966","127,121","2,255","21,828",56,"610,548","12,866","44,292"
,2024-10-05(토),부산광역시,"902,408","138,306","2,429","24,556",150,"678,488","13,981","44,498",,,2024-10-20(일),부산광역시,"653,566","107,909","1,911","17,200",102,"478,053","10,781","37,610"
,2024-10-06(일),부산광역시,"647,128","101,698","1,775","14,597",60,"486,023","10,180","32,795",,,2024-10-21(월),부산광역시,"982,567","158,061","2,921","19,946",20,"719,846","16,811","64,962"
,2024-10-07(월),부산광역시,"986,374","152,214","2,867","19,424",85,"730,021","16,124","65,639",,,2024-10-22(화),부산광역시,"879,338","121,235","2,281","18,430",56,"661,002","13,441","62,893"
,2024-10-08(화),부산광역시,"1,053,799","166,124","3,031","21,310",51,"776,722","17,574","68,987",,,2024-10-23(수),부산광역시,"1,019,260","166,108","3,000","21,097",116,"745,547","17,511","65,881"
,2024-10-09(수),부산광역시,"717,929","126,674","2,139","20,372",76,"521,372","12,213","35,083",,,2024-10-24(목),부산광역시,"1,015,988","160,820","2,975","20,637",65,"749,287","16,965","65,239"
,2024-10-10(목),부산광역시,"1,021,897","161,733","3,007","20,700",92,"752,816","17,087","66,462",,,2024-10-25(금),부산광역시,"1,074,814","168,025","3,102","22,539",66,"793,274","17,538","70,270"
,2024-10-11(금),부산광역시,"1,067,186","163,284","3,033","22,491",77,"786,687","17,228","74,386",,,2024-10-26(토),부산광역시,"892,930","140,026","2,448","25,421",108,"661,430","13,899","49,598"
,2024-10-12(토),부산광역시,"884,420","141,928","2,453","25,540",55,"653,312","14,030","47,102",,,2024-10-27(일),부산광역시,"657,526","109,667","1,901","15,707",63,"482,427","10,675","37,086"
,2024-10-13(일),부산광역시,"679,674","114,698","1,960","17,862",104,"496,509","11,201","37,340",,,2024-10-28(월),부산광역시,"980,157","156,648","2,891","19,133",45,"721,730","16,288","63,422"
,2024-10-14(월),부산광역시,"971,818","153,322","2,853","19,353",79,"715,854","16,296","64,061",,,2024-10-29(화),부산광역시,"1,000,483","160,154","2,942","20,346",48,"736,980","16,830","63,183"
27,2024-10-01(화),대구광역시,"331,980","66,661",840,"21,288",0,"230,231","3,888","9,072",,,2024-10-30(수),부산광역시,"1,011,583","160,421","2,992","21,150",57,"744,323","17,020","65,620"
,2024-10-02(수),대구광역시,"476,844","84,420","1,126","46,616",0,"328,564","5,358","10,760",,,2024-10-31(목),부산광역시,"1,011,314","156,793","2,944","20,073",66,"749,723","16,769","64,946"
,2024-10-03(목),대구광역시,"297,933","61,288",768,"20,098",0,"204,448","3,420","7,911",,27,2024-10-17(목),대구광역시,"457,925","84,524","1,145","41,660",0,"315,860","5,400","9,336"
,2024-10-04(금),대구광역시,"465,507","85,365","1,190","36,826",0,"326,307","5,326","10,493",,,2024-10-18(금),대구광역시,"465,427","81,126","1,130","43,216",0,"324,609","5,319","10,027"
,2024-10-05(토),대구광역시,"375,026","68,989",868,"25,755",0,"264,692","4,143","10,579",,,2024-10-19(토),대구광역시,"357,601","62,124",824,"26,354",0,"254,838","3,859","9,602"
,2024-10-06(일),대구광역시,"273,372","53,565",679,"19,888",0,"189,187","3,170","6,883",,,2024-10-20(일),대구광역시,"287,221","55,750",728,"22,445",0,"197,126","3,303","7,869"
,2024-10-07(월),대구광역시,"449,586","82,423","1,188","43,104",0,"308,283","5,296","9,292",,,2024-10-21(월),대구광역시,"449,009","84,129","1,147","40,966",0,"308,089","5,321","9,357"
,2024-10-08(화),대구광역시,"472,795","85,993","1,161","43,914",0,"326,531","5,391","9,805",,,2024-10-22(화),대구광역시,"426,982","72,806",980,"40,392",0,"298,984","4,894","8,926"
,2024-10-09(수),대구광역시,"314,335","64,582",819,"21,880",0,"214,397","3,784","8,873",,,2024-10-23(수),대구광역시,"456,982","83,718","1,141","42,228",0,"314,471","5,392","10,032"
,2024-10-10(목),대구광역시,"462,121","86,381","1,169","42,780",0,"317,190","5,382","9,219",,,2024-10-24(목),대구광역시,"457,833","83,995","1,131","41,711",0,"316,360","5,309","9,327"
,2024-10-11(금),대구광역시,"486,670","86,437","1,149","47,077",0,"335,753","5,539","10,715",,,2024-10-25(금),대구광역시,"494,776","87,116","1,246","43,941",0,"346,620","5,500","10,353"
,2024-10-12(토),대구광역시,"390,298","69,645",943,"28,923",0,"275,258","4,356","11,173",,,2024-10-26(토),대구광역시,"404,208","70,440",912,"28,401",0,"288,603","4,294","11,558"
,2024-10-13(일),대구광역시,"299,280","56,018",721,"22,271",0,"208,917","3,425","7,928",,,2024-10-27(일),대구광역시,"275,268","52,224",664,"20,577",0,"191,487","3,255","7,061"
,2024-10-14(월),대구광역시,"444,131","81,302","1,120","41,125",0,"306,320","5,058","9,206",,,2024-10-28(월),대구광역시,"440,230","80,652","1,106","40,555",0,"303,833","5,099","8,985"
28,2024-10-01(화),인천광역시,"490,664","55,582",833,"7,683","2,017","386,108","10,356","28,085",,,2024-10-29(화),대구광역시,"450,785","83,747","1,112","40,280",0,"311,494","5,328","8,824"
,2024-10-02(수),인천광역시,"752,380","72,790","1,278","7,590","1,981","594,454","14,790","59,497",,,2024-10-30(수),대구광역시,"456,264","82,768","1,094","41,985",0,"315,403","5,276","9,738"
